obs_id,obsname,starttime_utc,stoptime_utc,projectid,calibration,calibrators,deleted_flag
1073354144,Sun_drift_picketfence,2014-01-10T01:55:28.000Z,2014-01-10T01:59:36.000Z,G0002,False,,False
1073354392,Sun_drift_picketfence,2014-01-10T01:59:36.000Z,2014-01-10T02:03:44.000Z,G0002,False,,False
1073358112,Sun_drift_picketfence,2014-01-10T03:01:36.000Z,2014-01-10T03:05:44.000Z,G0002,False,,False
1073358360,Sun_drift_picketfence,2014-01-10T03:05:44.000Z,2014-01-10T03:09:52.000Z,G0002,False,,False
1073358608,Sun_drift_picketfence,2014-01-10T03:09:52.000Z,2014-01-10T03:14:00.000Z,G0002,False,,False
1073358856,Sun_drift_picketfence,2014-01-10T03:14:00.000Z,2014-01-10T03:18:08.000Z,G0002,False,,False
1073359104,Sun_drift_picketfence,2014-01-10T03:18:08.000Z,2014-01-10T03:22:16.000Z,G0002,False,,False
1073359352,Sun_drift_picketfence,2014-01-10T03:22:16.000Z,2014-01-10T03:26:24.000Z,G0002,False,,False
1073359600,Sun_drift_picketfence,2014-01-10T03:26:24.000Z,2014-01-10T03:30:32.000Z,G0002,False,,False
1073359848,Sun_drift_picketfence,2014-01-10T03:30:32.000Z,2014-01-10T03:34:40.000Z,G0002,False,,False
1073360096,Sun_drift_picketfence,2014-01-10T03:34:40.000Z,2014-01-10T03:38:48.000Z,G0002,False,,False
1073360344,Sun_drift_picketfence,2014-01-10T03:38:48.000Z,2014-01-10T03:42:56.000Z,G0002,False,,False
1073360592,Sun_drift_picketfence,2014-01-10T03:42:56.000Z,2014-01-10T03:47:04.000Z,G0002,False,,False
1073360840,Sun_drift_picketfence,2014-01-10T03:47:04.000Z,2014-01-10T03:51:12.000Z,G0002,False,,False
1073361088,Sun_drift_picketfence,2014-01-10T03:51:12.000Z,2014-01-10T03:55:20.000Z,G0002,False,,False
1073361336,Sun_drift_picketfence,2014-01-10T03:55:20.000Z,2014-01-10T03:59:28.000Z,G0002,False,,False
1073361584,Sun_drift_picketfence,2014-01-10T03:59:28.000Z,2014-01-10T04:03:36.000Z,G0002,False,,False
1081134016,Sun,2014-04-10T03:00:00.000Z,2014-04-10T03:04:00.000Z,G0002,False,,False
1081134256,Sun,2014-04-10T03:04:00.000Z,2014-04-10T03:08:00.000Z,G0002,False,,False
1081134496,Sun,2014-04-10T03:08:00.000Z,2014-04-10T03:12:00.000Z,G0002,False,,False
1081134736,Sun,2014-04-10T03:12:00.000Z,2014-04-10T03:16:00.000Z,G0002,False,,False
1081134976,Sun,2014-04-10T03:16:00.000Z,2014-04-10T03:20:00.000Z,G0002,False,,False
1081135216,Sun,2014-04-10T03:20:00.000Z,2014-04-10T03:24:00.000Z,G0002,False,,False
1081135456,Sun,2014-04-10T03:24:00.000Z,2014-04-10T03:28:00.000Z,G0002,False,,False
1081135696,Sun,2014-04-10T03:28:00.000Z,2014-04-10T03:32:00.000Z,G0002,False,,False
1081135936,Sun,2014-04-10T03:32:00.000Z,2014-04-10T03:36:00.000Z,G0002,False,,False
1081136176,Sun,2014-04-10T03:36:00.000Z,2014-04-10T03:40:00.000Z,G0002,False,,False
1081136416,Sun,2014-04-10T03:40:00.000Z,2014-04-10T03:44:00.000Z,G0002,False,,False
1081136656,Sun,2014-04-10T03:44:00.000Z,2014-04-10T03:48:00.000Z,G0002,False,,False
1081136896,Sun,2014-04-10T03:48:00.000Z,2014-04-10T03:52:00.000Z,G0002,False,,False
1081137136,Sun,2014-04-10T03:52:00.000Z,2014-04-10T03:56:00.000Z,G0002,False,,False
1081137376,Sun,2014-04-10T03:56:00.000Z,2014-04-10T04:00:00.000Z,G0002,False,,False
1081144816,Sun,2014-04-10T06:00:00.000Z,2014-04-10T06:04:00.000Z,G0002,False,,False
1081145056,Sun,2014-04-10T06:04:00.000Z,2014-04-10T06:08:00.000Z,G0002,False,,False
1081145296,Sun,2014-04-10T06:08:00.000Z,2014-04-10T06:12:00.000Z,G0002,False,,False
1081145536,Sun,2014-04-10T06:12:00.000Z,2014-04-10T06:16:00.000Z,G0002,False,,False
1081145776,Sun,2014-04-10T06:16:00.000Z,2014-04-10T06:20:00.000Z,G0002,False,,False
1081146016,Sun,2014-04-10T06:20:00.000Z,2014-04-10T06:24:00.000Z,G0002,False,,False
1081146256,Sun,2014-04-10T06:24:00.000Z,2014-04-10T06:28:00.000Z,G0002,False,,False
1081146496,Sun,2014-04-10T06:28:00.000Z,2014-04-10T06:32:00.000Z,G0002,False,,False
1081146736,Sun,2014-04-10T06:32:00.000Z,2014-04-10T06:36:00.000Z,G0002,False,,False
1081146976,Sun,2014-04-10T06:36:00.000Z,2014-04-10T06:40:00.000Z,G0002,False,,False
1081147216,Sun,2014-04-10T06:40:00.000Z,2014-04-10T06:44:00.000Z,G0002,False,,False
1081147456,Sun,2014-04-10T06:44:00.000Z,2014-04-10T06:48:00.000Z,G0002,False,,False
1081147696,Sun,2014-04-10T06:48:00.000Z,2014-04-10T06:52:00.000Z,G0002,False,,False
1081147936,Sun,2014-04-10T06:52:00.000Z,2014-04-10T06:56:00.000Z,G0002,False,,False
1081148176,Sun,2014-04-10T06:56:00.000Z,2014-04-10T07:00:00.000Z,G0002,False,,False
1081991056,Sun,2014-04-20T01:04:00.000Z,2014-04-20T01:08:00.000Z,G0002,False,,False
1081991296,Sun,2014-04-20T01:08:00.000Z,2014-04-20T01:12:00.000Z,G0002,False,,False
1081991536,Sun,2014-04-20T01:12:00.000Z,2014-04-20T01:16:00.000Z,G0002,False,,False
1081991776,Sun,2014-04-20T01:16:00.000Z,2014-04-20T01:20:00.000Z,G0002,False,,False
1081992016,Sun,2014-04-20T01:20:00.000Z,2014-04-20T01:24:00.000Z,G0002,False,,False
1081992256,Sun,2014-04-20T01:24:00.000Z,2014-04-20T01:28:00.000Z,G0002,False,,False
1081992496,Sun,2014-04-20T01:28:00.000Z,2014-04-20T01:32:00.000Z,G0002,False,,False
1081992736,Sun,2014-04-20T01:32:00.000Z,2014-04-20T01:36:00.000Z,G0002,False,,False
1081992976,Sun,2014-04-20T01:36:00.000Z,2014-04-20T01:40:00.000Z,G0002,False,,False
1081993216,Sun,2014-04-20T01:40:00.000Z,2014-04-20T01:44:00.000Z,G0002,False,,False
1081993456,Sun,2014-04-20T01:44:00.000Z,2014-04-20T01:48:00.000Z,G0002,False,,False
1081993696,Sun,2014-04-20T01:48:00.000Z,2014-04-20T01:52:00.000Z,G0002,False,,False
1081993936,Sun,2014-04-20T01:52:00.000Z,2014-04-20T01:56:00.000Z,G0002,False,,False
1081994176,Sun,2014-04-20T01:56:00.000Z,2014-04-20T02:00:00.000Z,G0002,False,,False
1081998016,Sun,2014-04-20T03:00:00.000Z,2014-04-20T03:04:00.000Z,G0002,False,,False
1081998256,Sun,2014-04-20T03:04:00.000Z,2014-04-20T03:08:00.000Z,G0002,False,,False
1081998496,Sun,2014-04-20T03:08:00.000Z,2014-04-20T03:12:00.000Z,G0002,False,,False
1081998736,Sun,2014-04-20T03:12:00.000Z,2014-04-20T03:16:00.000Z,G0002,False,,False
1081998976,Sun,2014-04-20T03:16:00.000Z,2014-04-20T03:20:00.000Z,G0002,False,,False
1081999216,Sun,2014-04-20T03:20:00.000Z,2014-04-20T03:24:00.000Z,G0002,False,,False
1081999456,Sun,2014-04-20T03:24:00.000Z,2014-04-20T03:28:00.000Z,G0002,False,,False
1081999696,Sun,2014-04-20T03:28:00.000Z,2014-04-20T03:32:00.000Z,G0002,False,,False
1081999936,Sun,2014-04-20T03:32:00.000Z,2014-04-20T03:36:00.000Z,G0002,False,,False
1082000176,Sun,2014-04-20T03:36:00.000Z,2014-04-20T03:40:00.000Z,G0002,False,,False
1082000416,Sun,2014-04-20T03:40:00.000Z,2014-04-20T03:44:00.000Z,G0002,False,,False
1082000656,Sun,2014-04-20T03:44:00.000Z,2014-04-20T03:48:00.000Z,G0002,False,,False
1082000896,Sun,2014-04-20T03:48:00.000Z,2014-04-20T03:52:00.000Z,G0002,False,,False
1082001136,Sun,2014-04-20T03:52:00.000Z,2014-04-20T03:56:00.000Z,G0002,False,,False
1082001376,Sun,2014-04-20T03:56:00.000Z,2014-04-20T04:00:00.000Z,G0002,False,,False
1082008816,Sun,2014-04-20T06:00:00.000Z,2014-04-20T06:04:00.000Z,G0002,False,,False
1082009056,Sun,2014-04-20T06:04:00.000Z,2014-04-20T06:08:00.000Z,G0002,False,,False
1082009296,Sun,2014-04-20T06:08:00.000Z,2014-04-20T06:12:00.000Z,G0002,False,,False
1082009536,Sun,2014-04-20T06:12:00.000Z,2014-04-20T06:16:00.000Z,G0002,False,,False
1082009776,Sun,2014-04-20T06:16:00.000Z,2014-04-20T06:20:00.000Z,G0002,False,,False
1082010016,Sun,2014-04-20T06:20:00.000Z,2014-04-20T06:24:00.000Z,G0002,False,,False
1082010256,Sun,2014-04-20T06:24:00.000Z,2014-04-20T06:28:00.000Z,G0002,False,,False
1082010496,Sun,2014-04-20T06:28:00.000Z,2014-04-20T06:32:00.000Z,G0002,False,,False
1082010736,Sun,2014-04-20T06:32:00.000Z,2014-04-20T06:36:00.000Z,G0002,False,,False
1082010976,Sun,2014-04-20T06:36:00.000Z,2014-04-20T06:40:00.000Z,G0002,False,,False
1082011216,Sun,2014-04-20T06:40:00.000Z,2014-04-20T06:44:00.000Z,G0002,False,,False
1082011456,Sun,2014-04-20T06:44:00.000Z,2014-04-20T06:48:00.000Z,G0002,False,,False
1082011696,Sun,2014-04-20T06:48:00.000Z,2014-04-20T06:52:00.000Z,G0002,False,,False
1082011936,Sun,2014-04-20T06:52:00.000Z,2014-04-20T06:56:00.000Z,G0002,False,,False
1082012176,Sun,2014-04-20T06:56:00.000Z,2014-04-20T07:00:00.000Z,G0002,False,,False
1082077456,Sun,2014-04-21T01:04:00.000Z,2014-04-21T01:08:00.000Z,G0002,False,,False
1082077696,Sun,2014-04-21T01:08:00.000Z,2014-04-21T01:12:00.000Z,G0002,False,,False
1082077936,Sun,2014-04-21T01:12:00.000Z,2014-04-21T01:16:00.000Z,G0002,False,,False
1082078176,Sun,2014-04-21T01:16:00.000Z,2014-04-21T01:20:00.000Z,G0002,False,,False
1082078416,Sun,2014-04-21T01:20:00.000Z,2014-04-21T01:24:00.000Z,G0002,False,,False
1082078656,Sun,2014-04-21T01:24:00.000Z,2014-04-21T01:28:00.000Z,G0002,False,,False
1082078896,Sun,2014-04-21T01:28:00.000Z,2014-04-21T01:32:00.000Z,G0002,False,,False
